Key,Hashing,Indice,Collisions TS1,Collisions TS2,Collisions TS3,Collisions TS4,Collisions TS5
1,SC,0,0,0,0,0,0
1,LP,0,0,0,0,0,0
1,QP,0,0,0,0,0,0
1,SC,1,0,0,0,0,0
1,LP,1,0,0,0,0,0
1,QP,1,0,0,0,0,0
1,SC,2,0,0,0,0,0
1,LP,2,0,0,0,0,0
1,QP,2,0,0,0,0,0
1,SC,3,0,0,0,0,0
1,LP,3,0,0,0,0,0
1,QP,3,0,0,0,0,0
1,SC,4,0,0,0,0,0
1,LP,4,0,0,0,0,0
1,QP,4,0,0,0,0,0
1,SC,5,0,0,0,0,0
1,LP,5,0,0,0,0,0
1,QP,5,0,0,0,0,0
1,SC,6,0,0,0,0,0
1,LP,6,0,0,0,0,0
1,QP,6,0,0,0,0,0
1,SC,7,0,0,0,0,0
1,LP,7,0,0,0,0,0
1,QP,7,0,0,0,0,0
1,SC,8,0,0,0,0,0
1,LP,8,0,0,0,0,0
1,QP,8,0,0,0,0,0
1,SC,9,0,0,0,0,0
1,LP,9,0,0,0,0,0
1,QP,9,0,0,0,0,0
1,SC,10,0,0,0,0,0
1,LP,10,0,0,0,0,0
1,QP,10,0,0,0,0,0
1,SC,11,0,0,0,0,0
1,LP,11,0,0,0,0,0
1,QP,11,0,0,0,0,0
1,SC,12,0,0,0,0,0
1,LP,12,0,0,0,0,0
1,QP,12,0,0,0,0,0
1,SC,13,0,0,0,0,0
1,LP,13,0,0,0,0,0
1,QP,13,0,0,0,0,0
1,SC,14,0,0,0,0,0
1,LP,14,0,0,0,0,0
1,QP,14,0,0,0,0,0
1,SC,15,0,0,0,0,0
1,LP,15,0,0,0,0,0
1,QP,15,0,0,0,0,0
1,SC,16,0,0,0,0,0
1,LP,16,0,0,0,0,0
1,QP,16,0,0,0,0,0
1,SC,17,0,0,0,0,0
1,LP,17,0,0,0,0,0
1,QP,17,0,0,0,0,0
1,SC,18,0,0,0,0,0
1,LP,18,0,0,0,0,0
1,QP,18,0,0,0,0,0
1,SC,19,0,0,0,0,0
1,LP,19,0,0,0,0,0
1,QP,19,0,0,0,0,0
1,SC,20,0,0,0,0,0
1,LP,20,0,0,0,0,0
1,QP,20,0,0,0,0,0
1,SC,21,0,0,0,0,0
1,LP,21,0,0,0,0,0
1,QP,21,0,0,0,0,0
1,SC,22,0,0,0,0,0
1,LP,22,0,0,0,0,0
1,QP,22,0,0,0,0,0
1,SC,23,0,0,0,0,0
1,LP,23,0,0,0,0,0
1,QP,23,0,0,0,0,0
1,SC,24,0,0,0,0,0
1,LP,24,0,0,0,0,0
1,QP,24,0,0,0,0,0
1,SC,25,0,0,0,0,0
1,LP,25,0,0,0,0,0
1,QP,25,0,0,0,0,0
1,SC,26,0,0,0,0,0
1,LP,26,0,0,0,0,0
1,QP,26,0,0,0,0,0
1,SC,27,0,0,0,0,0
1,LP,27,0,0,0,0,0
1,QP,27,0,0,0,0,0
1,SC,28,0,0,0,0,0
1,LP,28,0,0,0,0,0
1,QP,28,0,0,0,0,0
1,SC,29,0,0,0,0,0
1,LP,29,0,0,0,0,0
1,QP,29,0,0,0,0,0
1,SC,30,0,0,0,0,0
1,LP,30,0,0,0,0,0
1,QP,30,0,0,0,0,0
1,SC,31,0,0,0,0,0
1,LP,31,0,0,0,0,0
1,QP,31,0,0,0,0,0
1,SC,32,0,0,0,0,0
1,LP,32,0,0,0,0,0
1,QP,32,0,0,0,0,0
1,SC,33,0,0,0,0,0
1,LP,33,0,0,0,0,0
1,QP,33,0,0,0,0,0
1,SC,34,0,0,0,0,0
1,LP,34,0,0,0,0,0
1,QP,34,0,0,0,0,0
1,SC,35,0,0,0,0,0
1,LP,35,0,0,0,0,0
1,QP,35,0,0,0,0,0
1,SC,36,0,0,0,0,0
1,LP,36,0,0,0,0,0
1,QP,36,0,0,0,0,0
1,SC,37,0,0,0,0,0
1,LP,37,0,0,0,0,0
1,QP,37,0,0,0,0,0
1,SC,38,0,0,0,0,0
1,LP,38,0,0,0,0,0
1,QP,38,0,0,0,0,0
1,SC,39,0,0,0,0,0
1,LP,39,0,0,0,0,0
1,QP,39,0,0,0,0,0
1,SC,40,0,0,0,0,0
1,LP,40,0,0,0,0,0
1,QP,40,0,0,0,0,0
1,SC,41,0,0,0,0,0
1,LP,41,0,0,0,0,0
1,QP,41,0,0,0,0,0
1,SC,42,0,0,0,0,0
1,LP,42,0,0,0,0,0
1,QP,42,0,0,0,0,0
1,SC,43,0,0,0,0,0
1,LP,43,0,0,0,0,0
1,QP,43,0,0,0,0,0
1,SC,44,0,0,0,0,0
1,LP,44,0,0,0,0,0
1,QP,44,0,0,0,0,0
1,SC,45,0,0,0,0,0
1,LP,45,0,0,0,0,0
1,QP,45,0,0,0,0,0
1,SC,46,0,0,0,0,0
1,LP,46,0,0,0,0,0
1,QP,46,0,0,0,0,0
1,SC,47,0,0,0,0,0
1,LP,47,0,0,0,0,0
1,QP,47,0,0,0,0,0
1,SC,48,0,0,0,0,0
1,LP,48,0,0,0,0,0
1,QP,48,0,0,0,0,0
1,SC,49,0,0,0,0,0
1,LP,49,0,0,0,0,0
1,QP,49,0,0,0,0,0
1,SC,50,0,0,0,0,0
1,LP,50,0,0,0,0,0
1,QP,50,0,0,0,0,0
1,SC,51,0,0,0,0,0
1,LP,51,0,0,0,0,0
1,QP,51,0,0,0,0,0
1,SC,52,0,0,0,0,0
